,Contract Month,Futures,Futures,Futures,Futures,Swaps,Swaps,Swaps,Swaps,Swaps,Swaps,Swaps,Swaps
0,Contract,(RBOB) Gasoline Futures,Brent Crude Futures,Heating Oil Futures,WTI Crude Futures,1% CIF Med Cg,180cst Sing,Argus Eurobob Non-Oxy FOB Rdam Bg,Marine 0.5% CIF Med Cg (Platts),Marine 0.5% FOB Sing (Platts)/Brent 1st Line (bbl),Premium Unl 10ppm FOB Med Cg,Sing Mogas 92 Unl (Platts),Sing Mogas 92 Unl (Platts)/Brent 1st Line
1,01-May-23,1400.0,0.0,3699.0,450.0,0.0,599.0,222.0,1000.0,0.0,0.0,22.0,0.0
2,Total(lots/statement),1400.0,0.0,3699.0,450.0,0.0,599.0,222.0,1000.0,0.0,0.0,22.0,0.0
